Category: Arts & Entertainment,,,,,,,,,,
2015-04,6,1,2,<1,<1,1,3,17,5,4
2015-05,6,1,42,<1,<1,1,3,17,5,3
2015-06,5,1,4,<1,<1,1,3,16,4,2
2015-07,4,1,3,<1,<1,1,3,15,5,2
2015-08,4,1,3,<1,<1,1,3,15,5,2
2015-09,5,1,3,<1,<1,1,3,17,5,2
2015-10,4,1,3,<1,<1,1,3,18,5,2
2015-11,3,1,3,<1,<1,1,3,16,4,2
2015-12,3,1,3,<1,<1,1,3,16,4,2
2016-01,3,1,2,<1,1,1,3,16,4,2
2016-02,3,1,3,<1,1,1,3,16,4,2
2016-03,4,1,3,<1,1,1,3,15,4,2
2016-04,3,1,3,<1,1,1,3,15,4,2
2016-05,4,1,43,<1,1,1,2,15,4,2
2016-06,3,1,4,<1,1,1,2,13,4,2
2016-07,3,1,3,<1,<1,1,2,13,4,2
2016-08,3,1,3,<1,<1,1,2,13,4,2
2016-09,3,1,3,<1,<1,1,2,14,4,2
2016-10,3,1,3,<1,1,1,3,15,4,2
2016-11,3,1,3,<1,1,5,3,13,4,2
2016-12,3,1,3,<1,1,2,3,13,4,2
2017-01,3,1,3,<1,1,7,3,11,4,2
2017-02,7,1,3,<1,1,10,3,10,5,2
2017-03,5,1,3,<1,1,8,3,10,5,2
2017-04,4,1,4,<1,1,7,3,9,6,2
2017-05,5,1,40,<1,1,7,2,10,5,2
2017-06,4,1,4,<1,1,6,2,11,5,2
2017-07,3,1,3,<1,1,7,2,14,6,2
2017-08,3,1,4,<1,1,6,2,13,6,2
2017-09,3,1,3,<1,1,3,2,13,5,2
2017-10,4,1,4,<1,1,1,2,15,5,3
2017-11,5,1,4,<1,1,6,3,15,5,2
2017-12,4,1,4,<1,1,7,3,17,7,2
2018-01,4,1,4,<1,1,8,3,14,7,2
2018-02,5,1,5,<1,1,8,2,13,7,2
2018-03,5,1,4,<1,1,10,3,14,8,3
2018-04,5,1,4,<1,1,10,3,13,9,3
2018-05,5,1,64,<1,1,8,3,13,9,2
2018-06,8,1,7,<1,1,8,3,12,8,2
2018-07,7,1,5,<1,1,8,3,13,8,2
2018-08,6,1,5,<1,1,9,3,13,11,2
2018-09,5,1,5,<1,1,9,2,12,7,2
2018-10,5,1,4,<1,1,11,2,13,6,2
2018-11,5,1,4,<1,1,9,2,14,7,2
2018-12,5,1,6,<1,1,8,3,15,6,2
2019-01,5,1,5,<1,1,13,2,12,8,3
2019-02,5,1,4,<1,1,15,2,14,8,4
2019-03,5,1,4,<1,1,12,3,15,11,4
2019-04,5,1,5,<1,1,4,3,13,10,3
2019-05,5,1,81,<1,1,6,3,12,8,3
2019-06,5,1,7,<1,1,4,3,11,7,3
2019-07,5,1,6,<1,1,7,2,8,8,3
2019-08,4,1,5,<1,1,19,2,7,7,3
2019-09,4,1,5,<1,1,5,2,8,6,2
2019-10,8,1,6,<1,1,7,2,12,7,3
2019-11,7,1,5,<1,1,7,2,13,6,2
2019-12,5,1,5,<1,1,7,2,12,6,2
2020-01,5,1,4,<1,1,4,2,11,6,2
2020-02,5,1,4,<1,1,4,2,10,6,3
2020-03,6,1,4,<1,1,3,2,9,6,2
2020-04,6,<1,4,<1,1,1,1,10,4,2
2020-05,4,<1,8,<1,1,1,1,8,3,2
2020-06,3,<1,3,<1,<1,1,1,6,3,1
2020-07,3,<1,3,<1,<1,<1,1,6,4,2
2020-08,3,<1,3,<1,<1,1,1,6,4,1
2020-09,3,<1,3,<1,1,2,1,8,3,1
2020-10,3,<1,2,<1,1,1,1,6,3,1
2020-11,2,<1,2,<1,<1,1,1,7,2,1
2020-12,2,<1,2,<1,<1,1,1,7,2,1
2021-01,3,<1,2,<1,<1,<1,1,6,2,1
2021-02,3,<1,2,<1,<1,1,1,6,3,1
2021-03,3,<1,2,<1,<1,1,1,7,2,1
2021-04,3,<1,26,<1,<1,1,1,6,3,1
2021-05,3,<1,3,<1,<1,3,1,7,2,1
2021-06,3,<1,2,<1,1,2,2,6,3,1
2021-07,3,<1,3,<1,<1,3,2,7,4,1
2021-08,3,<1,4,<1,<1,2,2,6,4,1
2021-09,3,<1,58,<1,<1,3,1,7,4,1
2021-10,3,1,7,<1,1,2,2,7,5,2
2021-11,4,1,5,<1,1,2,2,8,5,2
2021-12,3,<1,5,<1,1,1,2,8,3,1
2022-01,4,1,4,<1,1,2,1,7,4,2
2022-02,4,1,5,<1,1,2,1,7,5,2
2022-03,4,1,6,<1,1,2,1,10,5,2
2022-04,4,1,7,<1,1,1,1,9,7,3
2022-05,5,1,100,<1,1,1,2,9,6,2
2022-06,4,1,7,<1,1,1,2,8,6,2
2022-07,4,1,5,<1,1,1,2,8,6,2
2022-08,4,1,4,<1,1,1,1,8,6,2
2022-09,4,1,4,<1,1,1,1,8,5,2
2022-10,5,1,4,<1,1,1,2,9,8,2
2022-11,4,1,6,<1,1,1,1,7,7,2
2022-12,4,1,4,<1,1,1,2,6,6,2
2023-01,5,1,4,<1,1,3,2,6,6,3
2023-02,5,1,4,<1,1,2,1,6,6,16
2023-03,6,1,4,<1,1,3,1,8,6,10
2023-04,5,1,4,<1,1,3,2,9,7,4
2023-05,6,1,35,<1,1,2,1,9,6,4
2023-06,5,1,3,<1,1,2,1,7,6,2
2023-07,4,1,3,<1,1,2,2,6,6,2
2023-08,4,1,2,<1,1,3,2,7,6,2
2023-09,5,1,3,<1,1,4,1,8,10,2
2023-10,5,1,3,<1,1,3,1,7,10,3
2023-11,4,1,3,<1,1,2,1,6,6,2
2023-12,4,1,3,<1,1,2,1,9,6,2
2024-01,5,1,3,<1,1,2,1,8,5,2
2024-02,4,1,3,<1,1,4,1,9,6,2
2024-03,5,1,2,<1,1,4,1,10,7,3
2024-04,4,1,4,<1,1,3,1,11,6,3
2024-05,5,1,29,<1,1,2,1,10,6,2
2024-06,4,1,3,<1,1,3,1,9,6,2
2024-07,4,1,2,<1,1,3,1,9,7,2
2024-08,4,1,2,<1,1,4,1,10,7,2
2024-09,4,1,2,<1,1,2,1,10,5,2
2024-10,5,1,3,<1,1,4,1,11,5,2
2024-11,4,1,2,<1,1,2,1,12,5,2
2024-12,4,1,3,<1,1,2,1,13,5,2
2025-01,5,1,3,<1,1,2,1,11,5,2
2025-02,5,1,3,<1,1,3,1,11,6,2
2025-03,5,1,3,<1,1,3,1,11,6,2
2025-04,5,1,3,<1,1,2,1,12,6,2
2025-05,4,1,15,<1,1,3,1,11,5,2
2025-06,5,1,3,<1,1,2,1,9,5,2
2025-07,4,1,3,<1,1,2,1,10,6,2
,1591,266,1614,9,105,678,1224,5565,1299,560
